,cap,cap_perc,level,path,read_data,total_iops,write_data,total_data
48,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-29/16-01-03.ts,0.0,0.0,14883892.0,14883892.0
49,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-29/17-01-03.ts,0.0,0.0,15043501.0,15043501.0
50,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-29/18-01-03.ts,0.0,0.0,15106377.0,15106377.0
51,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-29/23-01-03.ts,0.0,0.0,14593894.0,14593894.0
52,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-29/00-01-03.ts,0.0,1.0,14397767.0,14397767.0
53,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-29/01-01-03.ts,0.0,0.0,15018585.0,15018585.0
54,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-29/13-01-03.ts,0.0,0.0,13866858.0,13866858.0
55,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-29/19-01-03.ts,0.0,0.0,14561673.0,14561673.0
56,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-29/20-01-03.ts,0.0,0.0,15037423.0,15037423.0
57,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-29/21-01-03.ts,0.0,0.0,14697730.0,14697730.0
58,1721810944,0.00133230312929,4,/tv-shows/FoxNews HD/2017-06-29/22-01-04.ts,0.0,1.0,15022817.0,15022817.0
59,41437818880,0.0320637616791,4,/tv-shows/FoxNews HD/2017-06-28,0.0,10.0,343620535.0,343620535.0
60,1731252224,0.00133960860434,4,/tv-shows/FoxNews HD/2017-06-28/01-01-03.ts,0.0,0.0,14227167.0,14227167.0
61,1731248128,0.00133960543494,4,/tv-shows/FoxNews HD/2017-06-28/04-01-03.ts,0.0,0.0,14112957.0,14112957.0
62,1729159168,0.00133798903916,4,/tv-shows/FoxNews HD/2017-06-28/00-01-03.ts,0.0,1.0,15372613.0,15372613.0
63,1729155072,0.00133798586975,4,/tv-shows/FoxNews HD/2017-06-28/02-01-03.ts,0.0,0.0,14281712.0,14281712.0
64,1729155072,0.00133798586975,4,/tv-shows/FoxNews HD/2017-06-28/23-01-03.ts,0.0,0.0,15655716.0,15655716.0
65,1729146880,0.00133797953095,4,/tv-shows/FoxNews HD/2017-06-28/03-01-03.ts,0.0,0.0,14920689.0,14920689.0
66,1728106496,0.00133717450246,4,/tv-shows/FoxNews HD/2017-06-28/15-01-03.ts,0.0,0.0,13751689.0,13751689.0
67,1727057920,0.00133636313517,4,/tv-shows/FoxNews HD/2017-06-28/05-01-03.ts,0.0,0.0,13794016.0,13794016.0
68,1727057920,0.00133636313517,4,/tv-shows/FoxNews HD/2017-06-28/10-01-03.ts,0.0,3.0,14274615.0,14274615.0
69,1727057920,0.00133636313517,4,/tv-shows/FoxNews HD/2017-06-28/13-01-03.ts,0.0,0.0,13693319.0,13693319.0
70,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-28/06-01-04.ts,0.0,1.0,14992572.0,14992572.0
71,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-28/17-01-03.ts,0.0,0.0,13946795.0,13946795.0
72,1726009344,0.00133555176787,4,/tv-shows/FoxNews HD/2017-06-28/07-01-03.ts,0.0,0.0,14291676.0,14291676.0
73,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-28/11-01-03.ts,0.0,0.0,14171668.0,14171668.0
74,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-28/21-01-03.ts,0.0,0.0,14745310.0,14745310.0
75,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-28/09-01-03.ts,0.0,0.0,14096576.0,14096576.0
76,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-28/18-01-03.ts,0.0,0.0,14156514.0,14156514.0
77,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-28/20-01-03.ts,0.0,3.0,14086403.0,14086403.0
78,1723912192,0.00133392903328,4,/tv-shows/FoxNews HD/2017-06-28/12-01-03.ts,0.0,0.0,13730119.0,13730119.0
79,1723912192,0.00133392903328,4,/tv-shows/FoxNews HD/2017-06-28/16-01-03.ts,0.0,0.0,13787802.0,13787802.0
80,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-28/08-01-03.ts,0.0,0.0,14211467.0,14211467.0
81,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-28/14-01-03.ts,0.0,0.0,13543004.0,13543004.0
82,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-28/22-01-03.ts,0.0,2.0,15301277.0,15301277.0
83,1722863616,0.00133311766599,4,/tv-shows/FoxNews HD/2017-06-28/19-01-03.ts,0.0,0.0,14405479.0,14405479.0
84,41411514368,0.0320434077699,4,/tv-shows/FoxNews HD/2017-06-23,189016607.0,201.0,344967103.0,533983710.0
85,1728098304,0.00133716816365,4,/tv-shows/FoxNews HD/2017-06-23/04-01-03.ts,11764529.0,9.0,0.0,11764529.0
86,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-23/12-01-03.ts,4807746.0,6.0,0.0,4807746.0
87,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-23/13-01-03.ts,11528258.0,6.0,0.0,11528258.0
88,1727049728,0.00133635679636,4,/tv-shows/FoxNews HD/2017-06-23/02-01-03.ts,5199052.0,6.0,0.0,5199052.0
89,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/09-01-03.ts,7885685.0,6.0,0.0,7885685.0
90,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/11-01-03.ts,9524700.0,5.0,0.0,9524700.0
91,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/14-01-03.ts,3563041.0,7.0,0.0,3563041.0
92,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/15-01-03.ts,5590833.0,6.0,0.0,5590833.0
93,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/17-01-03.ts,10562900.0,6.0,0.0,10562900.0
94,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-23/23-01-03.ts,7029622.0,5.0,0.0,7029622.0
95,1726001152,0.00133554542906,4,/tv-shows/FoxNews HD/2017-06-23/00-01-03.ts,5311282.0,5.0,0.0,5311282.0
96,1726001152,0.00133554542906,4,/tv-shows/FoxNews HD/2017-06-23/05-01-03.ts,7302961.0,6.0,0.0,7302961.0
97,1725997056,0.00133554225966,4,/tv-shows/FoxNews HD/2017-06-23/03-01-03.ts,3069883.0,4.0,0.0,3069883.0
98,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-23/20-01-03.ts,7120690.0,9.0,0.0,7120690.0
99,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-23/08-01-03.ts,9051133.0,8.0,0.0,9051133.0
